Squadra,Giornata,PPDA,Casa/Trasferta,Anno
Parma Calcio 1913,13,16.94736842105263,Casa,2024-25
Parma Calcio 1913,14,12.583333333333334,Casa,2024-25
Parma Calcio 1913,15,36.11111111111112,Trasferta,2024-25
Parma Calcio 1913,16,17.272727272727273,Casa,2024-25
Parma Calcio 1913,17,29.454545454545453,Trasferta,2024-25
Parma Calcio 1913,18,10.458333333333334,Casa,2024-25
Parma Calcio 1913,19,27.5,Trasferta,2024-25
Parma Calcio 1913,20,15.0,Trasferta,2024-25
Parma Calcio 1913,21,7.1923076923076925,Casa,2024-25
Parma Calcio 1913,22,20.846153846153847,Trasferta,2024-25
Parma Calcio 1913,23,26.07692307692308,Casa,2024-25
Parma Calcio 1913,24,8.545454545454545,Trasferta,2024-25
Parma Calcio 1913,25,21.94736842105263,Casa,2024-25
Parma Calcio 1913,26,24.153846153846157,Casa,2024-25
Parma Calcio 1913,27,50.0,Trasferta,2024-25
Parma Calcio 1913,28,8.625,Casa,2024-25
Parma Calcio 1913,29,12.26086956521739,Trasferta,2024-25
Parma Calcio 1913,30,11.8,Trasferta,2024-25
Lecce,1,15.333333333333334,Casa,2024-25
Lecce,2,28.07692307692308,Trasferta,2024-25
Lecce,3,8.28,Casa,2024-25
Lecce,4,20.928571428571427,Trasferta,2024-25
Lecce,5,21.727272727272727,Casa,2024-25
Lecce,6,23.0,Trasferta,2024-25
Lecce,7,8.535714285714286,Trasferta,2024-25
Lecce,8,22.33333333333333,Casa,2024-25
Lecce,9,15.933333333333334,Trasferta,2024-25
Lecce,10,9.55,Casa,2024-25
Lecce,11,11.227272727272728,Trasferta,2024-25
Lecce,12,8.894736842105264,Casa,2024-25
Lecce,13,12.571428571428571,Trasferta,2024-25
Lecce,14,16.47826086956522,Casa,2024-25
Lecce,15,10.551724137931034,Trasferta,2024-25
Lecce,16,6.962962962962963,Casa,2024-25
Lecce,17,16.352941176470587,Casa,2024-25
Lecce,18,12.26086956521739,Trasferta,2024-25
Lecce,19,5.838709677419355,Casa,2024-25
Lecce,20,5.066666666666666,Trasferta,2024-25
Lecce,21,14.294117647058824,Trasferta,2024-25
Lecce,22,9.27777777777778,Casa,2024-25
Lecce,23,14.866666666666667,Trasferta,2024-25
Lecce,24,11.782608695652174,Casa,2024-25
Lecce,25,12.541666666666666,Trasferta,2024-25
Lecce,26,8.620689655172415,Casa,2024-25
Lecce,27,10.434782608695652,Trasferta,2024-25
Lecce,28,14.954545454545457,Casa,2024-25
Lecce,29,9.05,Trasferta,2024-25
Lecce,30,15.4,Casa,2024-25
Venezia,1,20.0,Trasferta,2024-25
Venezia,2,10.0,Trasferta,2024-25
Venezia,3,16.055555555555557,Casa,2024-25
Venezia,4,20.73684210526316,Trasferta,2024-25
Venezia,5,13.38888888888889,Casa,2024-25
Venezia,6,25.545454545454547,Trasferta,2024-25
Venezia,7,15.272727272727272,Trasferta,2024-25
Venezia,8,12.625,Casa,2024-25
Venezia,9,9.333333333333334,Trasferta,2024-25
Venezia,10,8.32,Casa,2024-25
Venezia,11,16.5625,Trasferta,2024-25
Venezia,12,7.333333333333333,Casa,2024-25
Venezia,13,9.095238095238097,Casa,2024-25
Venezia,14,13.9,Trasferta,2024-25
Venezia,15,9.761904761904765,Casa,2024-25
Venezia,16,37.81818181818182,Trasferta,2024-25
Venezia,17,20.642857142857142,Casa,2024-25
Venezia,18,12.346153846153848,Trasferta,2024-25
Venezia,19,9.363636363636363,Casa,2024-25
